#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-08-08 22:19:35 -04:00	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        10011500     00060          BEAR RIVER NEAR UTAH-WYOMING STATE LINE
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	year_nu	month_nu	mean_va
5s	15s	5s	10n	15s	4s	2s	12n
USGS	10011500	00060	143377		1956	5	856.0
USGS	10011500	00060	143377		1956	6	855.6
USGS	10011500	00060	143377		1956	7	153.8
USGS	10011500	00060	143377		1956	8	44.7
USGS	10011500	00060	143377		1956	9	23.9
USGS	10011500	00060	143377		1956	10	33.8
USGS	10011500	00060	143377		1956	11	36.9
USGS	10011500	00060	143377		1956	12	35.6
USGS	10011500	00060	143377		1957	1	32.7
USGS	10011500	00060	143377		1957	2	32.9
USGS	10011500	00060	143377		1957	3	34.4
USGS	10011500	00060	143377		1957	4	48.2
USGS	10011500	00060	143377		1957	5	421.1
USGS	10011500	00060	143377		1957	6	1440
USGS	10011500	00060	143377		1957	7	549.0
USGS	10011500	00060	143377		1957	8	106.5
USGS	10011500	00060	143377		1957	9	50.7
USGS	10011500	00060	143377		1957	10	53.2
USGS	10011500	00060	143377		1957	11	49.9
USGS	10011500	00060	143377		1957	12	47.0
USGS	10011500	00060	143377		1958	1	40.3
USGS	10011500	00060	143377		1958	2	41.5
USGS	10011500	00060	143377		1958	3	41.2
USGS	10011500	00060	143377		1958	4	63.0
USGS	10011500	00060	143377		1958	5	738.9
USGS	10011500	00060	143377		1958	6	673.2
USGS	10011500	00060	143377		1958	7	112.1
USGS	10011500	00060	143377		1958	8	38.3
USGS	10011500	00060	143377		1958	9	36.2
USGS	10011500	00060	143377		1958	10	30.8
USGS	10011500	00060	143377		1958	11	37.5
USGS	10011500	00060	143377		1958	12	39.8
USGS	10011500	00060	143377		1959	1	37.1
USGS	10011500	00060	143377		1959	2	35.8
USGS	10011500	00060	143377		1959	3	36.7
USGS	10011500	00060	143377		1959	4	78.8
USGS	10011500	00060	143377		1959	5	364.9
USGS	10011500	00060	143377		1959	6	926.8
USGS	10011500	00060	143377		1959	7	204.3
USGS	10011500	00060	143377		1959	8	54.1
USGS	10011500	00060	143377		1959	9	38.0
USGS	10011500	00060	143377		1959	10	88.2
USGS	10011500	00060	143377		1959	11	61.2
USGS	10011500	00060	143377		1959	12	27.7
USGS	10011500	00060	143377		1960	1	32.1
USGS	10011500	00060	143377		1960	2	33.1
USGS	10011500	00060	143377		1960	3	38.5
USGS	10011500	00060	143377		1960	4	140.5
USGS	10011500	00060	143377		1960	5	479.3
USGS	10011500	00060	143377		1960	6	644.1
USGS	10011500	00060	143377		1960	7	116.5
USGS	10011500	00060	143377		1960	8	40.7
USGS	10011500	00060	143377		1960	9	29.4
USGS	10011500	00060	143377		1960	10	32.5
USGS	10011500	00060	143377		1960	11	38.1
USGS	10011500	00060	143377		1960	12	35.0
USGS	10011500	00060	143377		1961	1	30.3
USGS	10011500	00060	143377		1961	2	29.4
USGS	10011500	00060	143377		1961	3	31.3
USGS	10011500	00060	143377		1961	4	63.4
USGS	10011500	00060	143377		1961	5	445.0
USGS	10011500	00060	143377		1961	6	369.6
USGS	10011500	00060	143377		1961	7	67.4
USGS	10011500	00060	143377		1961	8	58.5
USGS	10011500	00060	143377		1961	9	111.1
USGS	10011500	00060	143377		1961	10	83.8
USGS	10011500	00060	143377		1961	11	70.0
USGS	10011500	00060	143377		1961	12	55.4
USGS	10011500	00060	143377		1962	1	42.9
USGS	10011500	00060	143377		1962	2	43.2
USGS	10011500	00060	143377		1962	3	46.7
USGS	10011500	00060	143377		1962	4	226.2
USGS	10011500	00060	143377		1962	5	641.7
USGS	10011500	00060	143377		1962	6	1012
USGS	10011500	00060	143377		1962	7	354.8
USGS	10011500	00060	143377		1962	8	77.6
USGS	10011500	00060	143377		1962	9	38.0
USGS	10011500	00060	143377		1962	10	40.7
USGS	10011500	00060	143377		1962	11	34.6
USGS	10011500	00060	143377		1962	12	35.0
USGS	10011500	00060	143377		1963	1	30.0
USGS	10011500	00060	143377		1963	2	32.2
USGS	10011500	00060	143377		1963	3	33.7
USGS	10011500	00060	143377		1963	4	46.5
USGS	10011500	00060	143377		1963	5	518.0
USGS	10011500	00060	143377		1963	6	653.4
USGS	10011500	00060	143377		1963	7	144.2
USGS	10011500	00060	143377		1963	8	63.5
USGS	10011500	00060	143377		1963	9	61.4
USGS	10011500	00060	143377		1963	10	39.4
USGS	10011500	00060	143377		1963	11	53.3
USGS	10011500	00060	143377		1963	12	34.2
USGS	10011500	00060	143377		1964	1	30.0
USGS	10011500	00060	143377		1964	2	25.3
USGS	10011500	00060	143377		1964	3	26.0
USGS	10011500	00060	143377		1964	4	41.1
USGS	10011500	00060	143377		1964	5	641.5
USGS	10011500	00060	143377		1964	6	902.6
USGS	10011500	00060	143377		1964	7	337.3
USGS	10011500	00060	143377		1964	8	76.5
USGS	10011500	00060	143377		1964	9	33.0
